"case_name","answer_correct","cognitive_load","quality_answer","reviewer","diagnostic_accuracy"
"Case_001","yes","Low","Complete Relevant","R1","True Positive"
"Case_002","yes","Low","Complete Relevant","R1","True Positive"
"Case_003","no","Low","Incomplete Relevant","R1","False Negative"
"Case_004","yes","Moderate","Complete Relevant","R1","True Positive"
"Case_005","no","Moderate","Incomplete Relevant","R1","False Negative"
"Case_006","no","Moderate","Incomplete Relevant","R1","False Negative"
"Case_007","no","Moderate","Complete Relevant","R1","False Negative"
"Case_008","no","Low","Complete Relevant","R1","False Negative"
"Case_009","no","Moderate","Complete Relevant","R1","False Negative"
"Case_010","no","Low","Complete Relevant","R1","False Negative"
"Case_011","no","Low","Incomplete Relevant","R1","False Negative"
"Case_012","no","High","Incomplete Relevant","R1","False Negative"
"Case_013","yes","Moderate","Incomplete Relevant","R1","True Positive"
"Case_014","yes","Low","Incomplete Relevant","R1","True Positive"
"Case_015","yes","Moderate","Complete Relevant","R1","True Positive"
"Case_016","no","Moderate","Incomplete Irrelevant","R1","False Negative"
"Case_017","no","High","Complete Relevant","R1","False Negative"
"Case_018","no","Low","Complete Relevant","R1","False Negative"
"Case_019","no","Low","Incomplete Relevant","R1","False Negative"
"Case_020","no","Low","Complete Relevant","R1","False Negative"
"Case_021","no","Low","Incomplete Relevant","R1","False Negative"
"Case_022","yes","Low","Incomplete Relevant","R1","True Positive"
"Case_023","no","Moderate","Complete Relevant","R1","False Negative"
"Case_024","no","High","Incomplete Irrelevant","R1","False Negative"
"Case_025","no","Low","Incomplete Relevant","R1","False Negative"
"Case_026","yes","Low","Incomplete Relevant","R1","True Positive"
"Case_027","yes","High","Complete Relevant","R1","True Positive"
"Case_028","yes","Low","Complete Relevant","R1","True Positive"
"Case_029","yes","Moderate","Incomplete Relevant","R1","True Positive"
"Case_030","yes","Low","Incomplete Relevant","R1","True Positive"
"Case_031","yes","High","Incomplete Relevant","R1","True Positive"
"Case_032","yes","Moderate","Complete Relevant","R1","True Positive"
"Case_033","no","Moderate","Complete Relevant","R1","False Negative"
"Case_034","no","Moderate","Complete Relevant","R1","False Negative"
"Case_035","no","Low","Incomplete Relevant","R1","False Negative"
"Case_036","no","Moderate","Complete Relevant","R1","False Negative"
"Case_037","yes","Moderate","Incomplete Relevant","R1","True Positive"
"Case_038","no","Low","Complete Relevant","R1","False Negative"
"Case_039","yes","Moderate","Complete Relevant","R1","True Positive"
"Case_040","no","Low","Incomplete Relevant","R1","False Negative"
"Case_041","yes","Moderate","Incomplete Relevant","R1","True Positive"
"Case_042","no","Moderate","Incomplete Relevant","R1","False Negative"
"Case_043","no","Low","Complete Relevant","R1","False Negative"
"Case_044","yes","Low","Complete Relevant","R1","True Positive"
"Case_045","yes","Moderate","Incomplete Relevant","R1","True Positive"
"Case_046","no","High","Incomplete Relevant","R1","False Negative"
"Case_047","no","Moderate","Complete Relevant","R1","False Negative"
"Case_048","no","Moderate","Incomplete Relevant","R1","False Negative"
"Case_049","yes","Moderate","Complete Relevant","R1","True Positive"
"Case_050","no","Moderate","Incomplete Relevant","R1","False Negative"
"Case_051","yes","Low","Complete Relevant","R1","True Positive"
"Case_052","no","Low","Complete Relevant","R1","False Negative"
"Case_053","no","Moderate","Incomplete Irrelevant","R1","False Negative"
"Case_054","yes","Low","Complete Relevant","R1","True Positive"
"Case_055","no","Moderate","Incomplete Relevant","R1","False Negative"
"Case_056","no","Moderate","Complete Relevant","R1","False Negative"
"Case_057","yes","Low","Incomplete Irrelevant","R1","True Positive"
"Case_058","yes","Moderate","Incomplete Irrelevant","R1","True Positive"
"Case_059","no","Low","Complete Relevant","R1","False Negative"
"Case_060","no","Low","Incomplete Relevant","R1","False Negative"
"Case_061","no","Moderate","Incomplete Relevant","R1","False Negative"
"Case_062","yes","Moderate","Complete Relevant","R1","True Positive"
"Case_063","yes","High","Complete Relevant","R1","True Positive"
"Case_064","no","Low","Complete Relevant","R1","False Negative"
"Case_065","no","Moderate","Complete Relevant","R1","False Negative"
"Case_066","no","Moderate","Incomplete Relevant","R1","False Negative"
"Case_067","yes","Moderate","Incomplete Irrelevant","R1","True Positive"
"Case_068","no","Low","Incomplete Irrelevant","R1","False Negative"
"Case_069","no","Low","Complete Relevant","R1","False Negative"
"Case_070","no","Moderate","Complete Relevant","R1","False Negative"
"Case_071","yes","Low","Complete Relevant","R1","True Positive"
"Case_072","yes","Low","Incomplete Relevant","R1","True Positive"
"Case_073","no","Low","Incomplete Relevant","R1","False Negative"
"Case_074","no","Low","Incomplete Relevant","R1","False Negative"
"Case_075","yes","Low","Complete Relevant","R1","True Positive"
"Case_076","yes","Moderate","Complete Relevant","R1","True Positive"
"Case_077","yes","High","Complete Relevant","R1","True Positive"
"Case_078","yes","Moderate","Complete Relevant","R1","True Positive"
"Case_079","no","Moderate","Incomplete Relevant","R1","False Negative"
"Case_080","no","Moderate","Incomplete Relevant","R1","False Negative"
"Case_081","yes","Moderate","Complete Relevant","R1","True Positive"
"Case_082","no","Low","Incomplete Relevant","R1","False Negative"
"Case_083","yes","Low","Complete Relevant","R1","True Positive"
"Case_084","no","Low","Complete Relevant","R1","False Negative"
"Case_085","yes","Low","Complete Relevant","R1","True Positive"
"Case_086","yes","Low","Incomplete Relevant","R1","True Positive"
"Case_087","yes","Low","Incomplete Relevant","R1","True Positive"
"Case_088","yes","Low","Complete Relevant","R1","True Positive"
"Case_089","no","Low","Complete Relevant","R1","False Negative"
"Case_090","yes","Low","Complete Relevant","R1","True Positive"
"Case_091","yes","Low","Incomplete Relevant","R1","True Positive"
"Case_092","no","Low","Complete Relevant","R1","False Negative"
"Case_093","no","Moderate","Complete Relevant","R1","False Negative"
