"case_id","case_name","answer_correct","answer_correct_bool","cognitive_load","cognitive_load_std","quality_answer","quality_answer_std","n_reviewers"
1,"Case_001","yes",TRUE,"Low","Low","Complete Relevant","Complete Relevant",2
2,"Case_002","yes",TRUE,"Low","Low","Complete Relevant","Complete Relevant",2
3,"Case_003","no",FALSE,"Low","Low","Incomplete Relevant","Incomplete Relevant",2
4,"Case_004","yes",TRUE,"Moderate","Moderate","Complete Relevant","Complete Relevant",2
5,"Case_005","no",FALSE,"Moderate","Moderate","Incomplete Relevant","Incomplete Relevant",2
6,"Case_006","no",FALSE,"Moderate","Moderate","Incomplete Relevant","Incomplete Relevant",2
7,"Case_007","no",FALSE,"Moderate","Moderate","Complete Relevant","Complete Relevant",2
8,"Case_008","no",FALSE,"Low","Low","Complete Relevant","Complete Relevant",2
9,"Case_009","no",FALSE,"Moderate","Moderate","Complete Relevant","Complete Relevant",2
10,"Case_010","no",FALSE,"Low","Low","Complete Relevant","Complete Relevant",2
11,"Case_011","no",FALSE,"Low","Low","Incomplete Relevant","Incomplete Relevant",2
12,"Case_012","no",FALSE,"High","High","Incomplete Relevant","Incomplete Relevant",2
13,"Case_013","yes",TRUE,"Moderate","Moderate","Incomplete Relevant","Incomplete Relevant",2
14,"Case_014","yes",TRUE,"Low","Low","Incomplete Relevant","Incomplete Relevant",2
15,"Case_015","yes",TRUE,"Moderate","Moderate","Complete Relevant","Complete Relevant",2
16,"Case_016","no",FALSE,"Moderate","Moderate","Incomplete Irrelevant","Incomplete Irrelevant",2
17,"Case_017","no",FALSE,"High","High","Complete Relevant","Complete Relevant",2
18,"Case_018","no",FALSE,"Low","Low","Complete Relevant","Complete Relevant",2
19,"Case_019","no",FALSE,"Low","Low","Incomplete Relevant","Incomplete Relevant",2
20,"Case_020","no",FALSE,"Low","Low","Complete Relevant","Complete Relevant",2
21,"Case_021","no",FALSE,"Low","Low","Incomplete Relevant","Incomplete Relevant",2
22,"Case_022","yes",TRUE,"Low","Low","Incomplete Relevant","Incomplete Relevant",2
23,"Case_023","no",FALSE,"Moderate","Moderate","Complete Relevant","Complete Relevant",2
24,"Case_024","no",FALSE,"High","High","Incomplete Irrelevant","Incomplete Irrelevant",2
25,"Case_025","no",FALSE,"Low","Low","Incomplete Relevant","Incomplete Relevant",2
26,"Case_026","yes",TRUE,"Low","Low","Incomplete Relevant","Incomplete Relevant",2
27,"Case_027","yes",TRUE,"High","High","Complete Relevant","Complete Relevant",2
28,"Case_028","yes",TRUE,"Low","Low","Complete Relevant","Complete Relevant",2
29,"Case_029","yes",TRUE,"Moderate","Moderate","Incomplete Relevant","Incomplete Relevant",2
30,"Case_030","yes",TRUE,"Low","Low","Incomplete Relevant","Incomplete Relevant",2
31,"Case_031","yes",TRUE,"High","High","Incomplete Relevant","Incomplete Relevant",2
32,"Case_032","yes",TRUE,"Moderate","Moderate","Complete Relevant","Complete Relevant",2
33,"Case_033","no",FALSE,"Moderate","Moderate","Complete Relevant","Complete Relevant",2
34,"Case_034","no",FALSE,"Moderate","Moderate","Complete Relevant","Complete Relevant",2
35,"Case_035","no",FALSE,"Low","Low","Incomplete Relevant","Incomplete Relevant",2
36,"Case_036","no",FALSE,"Moderate","Moderate","Complete Relevant","Complete Relevant",2
37,"Case_037","yes",TRUE,"Moderate","Moderate","Incomplete Relevant","Incomplete Relevant",2
38,"Case_038","no",FALSE,"Low","Low","Complete Relevant","Complete Relevant",2
39,"Case_039","yes",TRUE,"Moderate","Moderate","Complete Relevant","Complete Relevant",2
40,"Case_040","no",FALSE,"Low","Low","Incomplete Relevant","Incomplete Relevant",2
41,"Case_041","yes",TRUE,"Moderate","Moderate","Incomplete Relevant","Incomplete Relevant",2
42,"Case_042","no",FALSE,"Moderate","Moderate","Incomplete Relevant","Incomplete Relevant",2
43,"Case_043","no",FALSE,"Low","Low","Complete Relevant","Complete Relevant",2
44,"Case_044","yes",TRUE,"Low","Low","Complete Relevant","Complete Relevant",2
45,"Case_045","yes",TRUE,"Moderate","Moderate","Incomplete Relevant","Incomplete Relevant",2
46,"Case_046","no",FALSE,"High","High","Incomplete Relevant","Incomplete Relevant",2
47,"Case_047","no",FALSE,"Moderate","Moderate","Complete Relevant","Complete Relevant",2
48,"Case_048","no",FALSE,"Moderate","Moderate","Incomplete Relevant","Incomplete Relevant",2
49,"Case_049","yes",TRUE,"Moderate","Moderate","Complete Relevant","Complete Relevant",2
50,"Case_050","no",FALSE,"Moderate","Moderate","Incomplete Relevant","Incomplete Relevant",2
51,"Case_051","yes",TRUE,"Low","Low","Complete Relevant","Complete Relevant",2
52,"Case_052","no",FALSE,"Low","Low","Complete Relevant","Complete Relevant",2
53,"Case_053","no",FALSE,"Moderate","Moderate","Incomplete Irrelevant","Incomplete Irrelevant",2
54,"Case_054","yes",TRUE,"Low","Low","Complete Relevant","Complete Relevant",2
55,"Case_055","no",FALSE,"Moderate","Moderate","Incomplete Relevant","Incomplete Relevant",2
56,"Case_056","no",FALSE,"Moderate","Moderate","Complete Relevant","Complete Relevant",2
57,"Case_057","yes",TRUE,"Low","Low","Incomplete Irrelevant","Incomplete Irrelevant",2
58,"Case_058","yes",TRUE,"Moderate","Moderate","Incomplete Irrelevant","Incomplete Irrelevant",2
59,"Case_059","no",FALSE,"Low","Low","Complete Relevant","Complete Relevant",2
60,"Case_060","no",FALSE,"Low","Low","Incomplete Relevant","Incomplete Relevant",2
61,"Case_061","no",FALSE,"Moderate","Moderate","Incomplete Relevant","Incomplete Relevant",2
62,"Case_062","yes",TRUE,"Moderate","Moderate","Complete Relevant","Complete Relevant",2
63,"Case_063","yes",TRUE,"High","High","Complete Relevant","Complete Relevant",2
64,"Case_064","no",FALSE,"Low","Low","Complete Relevant","Complete Relevant",2
65,"Case_065","no",FALSE,"Moderate","Moderate","Complete Relevant","Complete Relevant",2
66,"Case_066","no",FALSE,"Moderate","Moderate","Incomplete Relevant","Incomplete Relevant",2
67,"Case_067","yes",TRUE,"Moderate","Moderate","Incomplete Irrelevant","Incomplete Irrelevant",2
68,"Case_068","no",FALSE,"Low","Low","Incomplete Irrelevant","Incomplete Irrelevant",2
69,"Case_069","no",FALSE,"Low","Low","Complete Relevant","Complete Relevant",2
70,"Case_070","no",FALSE,"Moderate","Moderate","Complete Relevant","Complete Relevant",2
71,"Case_071","yes",TRUE,"Low","Low","Complete Relevant","Complete Relevant",2
72,"Case_072","yes",TRUE,"Low","Low","Incomplete Relevant","Incomplete Relevant",2
