"response_id","case_id","option","diagnostic_result"
1,1,1,"False Negative"
2,1,2,"False Positive"
3,1,3,"True Negative"
4,1,4,"True Negative"
5,2,1,"True Positive"
6,2,2,"True Negative"
7,2,3,"True Negative"
8,2,4,"True Negative"
9,3,1,"False Negative"
10,3,2,"False Positive"
11,3,3,"True Negative"
12,3,4,"True Negative"
13,4,1,"True Positive"
14,4,2,"True Negative"
15,4,3,"True Negative"
16,4,4,"True Negative"
17,5,1,"False Negative"
18,5,2,"False Positive"
19,5,3,"True Negative"
20,5,4,"True Negative"
21,6,1,"False Negative"
22,6,2,"False Positive"
23,6,3,"True Negative"
24,6,4,"True Negative"
25,7,1,"False Negative"
26,7,2,"False Positive"
27,7,3,"True Negative"
28,7,4,"True Negative"
29,8,1,"False Negative"
30,8,2,"False Positive"
31,8,3,"True Negative"
32,8,4,"True Negative"
33,9,1,"False Negative"
34,9,2,"False Positive"
35,9,3,"True Negative"
36,9,4,"True Negative"
37,10,1,"False Negative"
38,10,2,"False Positive"
39,10,3,"True Negative"
40,10,4,"True Negative"
41,11,1,"False Negative"
42,11,2,"False Positive"
43,11,3,"True Negative"
44,11,4,"True Negative"
45,12,1,"False Negative"
46,12,2,"False Positive"
47,12,3,"True Negative"
48,12,4,"True Negative"
49,13,1,"True Positive"
50,13,2,"True Negative"
51,13,3,"True Negative"
52,13,4,"True Negative"
53,14,1,"True Positive"
54,14,2,"True Negative"
55,14,3,"True Negative"
56,14,4,"True Negative"
57,15,1,"True Positive"
58,15,2,"True Negative"
59,15,3,"True Negative"
60,15,4,"True Negative"
61,16,1,"False Negative"
62,16,2,"False Positive"
63,16,3,"True Negative"
64,16,4,"True Negative"
65,17,1,"False Negative"
66,17,2,"False Positive"
67,17,3,"True Negative"
68,17,4,"True Negative"
69,18,1,"False Negative"
70,18,2,"False Positive"
71,18,3,"True Negative"
72,18,4,"True Negative"
73,19,1,"False Negative"
74,19,2,"False Positive"
75,19,3,"True Negative"
76,19,4,"True Negative"
77,20,1,"False Negative"
78,20,2,"False Positive"
79,20,3,"True Negative"
80,20,4,"True Negative"
81,21,1,"False Negative"
82,21,2,"False Positive"
83,21,3,"True Negative"
84,21,4,"True Negative"
85,22,1,"True Positive"
86,22,2,"True Negative"
87,22,3,"True Negative"
88,22,4,"True Negative"
89,23,1,"False Negative"
90,23,2,"False Positive"
91,23,3,"True Negative"
92,23,4,"True Negative"
93,24,1,"False Negative"
94,24,2,"False Positive"
95,24,3,"True Negative"
96,24,4,"True Negative"
97,25,1,"False Negative"
98,25,2,"False Positive"
99,25,3,"True Negative"
100,25,4,"True Negative"
101,26,1,"True Positive"
102,26,2,"True Negative"
103,26,3,"True Negative"
104,26,4,"True Negative"
105,27,1,"True Positive"
106,27,2,"True Negative"
107,27,3,"True Negative"
108,27,4,"True Negative"
109,28,1,"True Positive"
110,28,2,"True Negative"
111,28,3,"True Negative"
112,28,4,"True Negative"
113,29,1,"True Positive"
114,29,2,"True Negative"
115,29,3,"True Negative"
116,29,4,"True Negative"
117,30,1,"True Positive"
118,30,2,"True Negative"
119,30,3,"True Negative"
120,30,4,"True Negative"
121,31,1,"True Positive"
122,31,2,"True Negative"
123,31,3,"True Negative"
124,31,4,"True Negative"
125,32,1,"True Positive"
126,32,2,"True Negative"
127,32,3,"True Negative"
128,32,4,"True Negative"
129,33,1,"False Negative"
130,33,2,"False Positive"
131,33,3,"True Negative"
132,33,4,"True Negative"
133,34,1,"False Negative"
134,34,2,"False Positive"
135,34,3,"True Negative"
136,34,4,"True Negative"
137,35,1,"False Negative"
138,35,2,"False Positive"
139,35,3,"True Negative"
140,35,4,"True Negative"
141,36,1,"False Negative"
142,36,2,"False Positive"
143,36,3,"True Negative"
144,36,4,"True Negative"
145,37,1,"True Positive"
146,37,2,"True Negative"
147,37,3,"True Negative"
148,37,4,"True Negative"
149,38,1,"False Negative"
150,38,2,"False Positive"
151,38,3,"True Negative"
152,38,4,"True Negative"
153,39,1,"True Positive"
154,39,2,"True Negative"
155,39,3,"True Negative"
156,39,4,"True Negative"
157,40,1,"False Negative"
158,40,2,"False Positive"
159,40,3,"True Negative"
160,40,4,"True Negative"
161,41,1,"True Positive"
162,41,2,"True Negative"
163,41,3,"True Negative"
164,41,4,"True Negative"
165,42,1,"False Negative"
166,42,2,"False Positive"
167,42,3,"True Negative"
168,42,4,"True Negative"
169,43,1,"False Negative"
170,43,2,"False Positive"
171,43,3,"True Negative"
172,43,4,"True Negative"
173,44,1,"True Positive"
174,44,2,"True Negative"
175,44,3,"True Negative"
176,44,4,"True Negative"
177,45,1,"True Positive"
178,45,2,"True Negative"
179,45,3,"True Negative"
180,45,4,"True Negative"
181,46,1,"False Negative"
182,46,2,"False Positive"
183,46,3,"True Negative"
184,46,4,"True Negative"
185,47,1,"False Negative"
186,47,2,"False Positive"
187,47,3,"True Negative"
188,47,4,"True Negative"
189,48,1,"False Negative"
190,48,2,"False Positive"
191,48,3,"True Negative"
192,48,4,"True Negative"
193,49,1,"True Positive"
194,49,2,"True Negative"
195,49,3,"True Negative"
196,49,4,"True Negative"
197,50,1,"False Negative"
198,50,2,"False Positive"
199,50,3,"True Negative"
200,50,4,"True Negative"
201,51,1,"True Positive"
202,51,2,"True Negative"
203,51,3,"True Negative"
204,51,4,"True Negative"
205,52,1,"False Negative"
206,52,2,"False Positive"
207,52,3,"True Negative"
208,52,4,"True Negative"
209,53,1,"False Negative"
210,53,2,"False Positive"
211,53,3,"True Negative"
212,53,4,"True Negative"
213,54,1,"True Positive"
214,54,2,"True Negative"
215,54,3,"True Negative"
216,54,4,"True Negative"
217,55,1,"False Negative"
218,55,2,"False Positive"
219,55,3,"True Negative"
220,55,4,"True Negative"
221,56,1,"False Negative"
222,56,2,"False Positive"
223,56,3,"True Negative"
224,56,4,"True Negative"
225,57,1,"True Positive"
226,57,2,"True Negative"
227,57,3,"True Negative"
228,57,4,"True Negative"
229,58,1,"True Positive"
230,58,2,"True Negative"
231,58,3,"True Negative"
232,58,4,"True Negative"
233,59,1,"False Negative"
234,59,2,"False Positive"
235,59,3,"True Negative"
236,59,4,"True Negative"
237,60,1,"False Negative"
238,60,2,"False Positive"
239,60,3,"True Negative"
240,60,4,"True Negative"
241,61,1,"False Negative"
242,61,2,"False Positive"
243,61,3,"True Negative"
244,61,4,"True Negative"
245,62,1,"True Positive"
246,62,2,"True Negative"
247,62,3,"True Negative"
248,62,4,"True Negative"
249,63,1,"True Positive"
250,63,2,"True Negative"
251,63,3,"True Negative"
252,63,4,"True Negative"
253,64,1,"False Negative"
254,64,2,"False Positive"
255,64,3,"True Negative"
256,64,4,"True Negative"
257,65,1,"False Negative"
258,65,2,"False Positive"
259,65,3,"True Negative"
260,65,4,"True Negative"
261,66,1,"False Negative"
262,66,2,"False Positive"
263,66,3,"True Negative"
264,66,4,"True Negative"
265,67,1,"True Positive"
266,67,2,"True Negative"
267,67,3,"True Negative"
268,67,4,"True Negative"
269,68,1,"False Negative"
270,68,2,"False Positive"
271,68,3,"True Negative"
272,68,4,"True Negative"
273,69,1,"False Negative"
274,69,2,"False Positive"
275,69,3,"True Negative"
276,69,4,"True Negative"
277,70,1,"False Negative"
278,70,2,"False Positive"
279,70,3,"True Negative"
280,70,4,"True Negative"
281,71,1,"True Positive"
282,71,2,"True Negative"
283,71,3,"True Negative"
284,71,4,"True Negative"
285,72,1,"True Positive"
286,72,2,"True Negative"
287,72,3,"True Negative"
288,72,4,"True Negative"
289,73,1,"False Negative"
290,73,2,"False Positive"
291,73,3,"True Negative"
292,73,4,"True Negative"
293,74,1,"False Negative"
294,74,2,"False Positive"
295,74,3,"True Negative"
296,74,4,"True Negative"
297,75,1,"True Positive"
298,75,2,"True Negative"
299,75,3,"True Negative"
300,75,4,"True Negative"
301,76,1,"True Positive"
302,76,2,"True Negative"
303,76,3,"True Negative"
304,76,4,"True Negative"
305,77,1,"True Positive"
306,77,2,"True Negative"
307,77,3,"True Negative"
308,77,4,"True Negative"
