Date,Actual,ARIMA,ETS,TBATS
2022-01-03,12339,11457.129166344419,11446.484341679425,11531.76631162102
2022-01-04,12942,12227.669168826502,11993.585886782392,12943.486885381664
2022-01-05,13359,12996.676603960837,12527.180845797579,13584.176886028097
2022-01-07,14426,13285.767345881555,13047.602662981139,14201.954424347228
2022-01-10,16496,14013.346628489171,13555.176550673972,14810.651070521679
2022-01-11,16555,14620.806121702255,14050.2196925274,15802.647328717152
2022-01-12,17028,15272.148023429136,14533.041441711666,17035.275635301023
2022-01-13,17269,15762.43126322103,15003.943514231185,17755.294919053536
2022-01-14,17436,16148.396456811137,15463.220177467312,18383.797256037407
2022-01-17,18821,16482.875595426358,15911.15843406644,19096.57547232538
2022-01-18,18918,16916.90958905624,16348.038201288375,20083.462770336155
2022-01-19,19000,17115.529408578153,16774.132485927035,21097.187443385414
2022-01-20,18934,17287.141997014507,17189.707554912773,21758.282857963095
2022-01-21,18675,17347.24752783512,17595.023101702984,22340.164087115
2022-01-24,19617,17403.63484939065,17990.332408564907,23028.244022026316
2022-01-25,19314,17430.33902739648,18375.88250485208,23875.206925898765
2022-01-26,18805,17404.24983651027,18751.914321373337,24655.739510626718
2022-01-27,18548,17251.61329150118,19118.66284095082,25198.00795374337
2022-01-28,18393,17155.47979366237,19476.357245261075,25693.93789132901
2022-01-31,18735,17013.48040826369,19825.221058051022,26280.656831193595
2022-02-01,18087,16877.906836782735,20165.472284818257,26940.337253201524
2022-02-02,17441,16700.03808453003,20497.323549043,27508.765254053465
2022-02-03,17012,16501.609967689998,20820.982225056818,27923.281354543677
2022-02-04,16326,16302.715924105787,21136.650567631135,28318.808840408165
2022-02-07,15991,16149.823121424748,21444.525838366542,28778.164074783395
2022-02-08,15206,15953.770075669094,21744.80042896184,29258.68171333263
2022-02-09,14440,15775.14701595239,22037.661981439902,29655.570545508624
2022-02-10,13623,15592.507633371992,22323.293505405425,29958.273948141883
2022-02-11,12843,15436.92293357876,22601.873492407925,30257.91542393775
2022-02-14,12170,15301.661472132137,22873.576027481322,30596.443633093888
2022-02-15,11438,15180.129911153981,23138.57089792996,30930.381800858577
2022-02-16,10898,15051.119571514639,23397.02369942893,31199.382535839155
2022-02-17,10251,14964.115024488518,23649.09593950503,31413.85660034984
2022-02-18,9742,14889.065434006792,23894.94513846308,31632.074607520906
2022-02-21,9364,14838.461205001942,24134.72492782055,31870.89014054253
2022-02-22,8859,14796.537804423175,24368.585146312143,32095.410023659977
2022-02-23,8258,14766.884889027817,24596.67193352423,32274.16504417407
2022-02-24,7824,14752.530680532524,24819.127821217684,32423.049097039773
2022-02-25,7248,14763.77372946033,25036.091822396174,32577.20543763163
2022-03-01,6478,14773.332946785667,25247.699518175614,32740.360777537808
2022-03-02,6188,14795.510248091945,25454.083142508964,32887.86519220048
2022-03-03,5989,14821.98089765683,25655.371664819446,33005.20297315089
2022-03-04,5693,14859.130635925394,25851.690870593717,33107.0754135875
2022-03-07,5544,14903.047918276156,26043.163439985383,33213.415136093645
2022-03-08,5294,14950.064198931916,26229.90902447802,33322.2518939303
2022-03-09,5061,14992.679987861127,26412.044321655558,33417.63600051528
2022-03-10,4891,15043.222822885813,26589.683148126744,33494.12715146974
2022-03-11,4777,15092.205739025008,26762.936510649346,33563.0838864864
2022-03-15,4894,15142.166546246533,26931.912675498395,33635.0614389089
2022-03-18,4580,15188.035882580125,27096.71723612197,33706.372735437435
2022-03-22,4686,15230.324537453664,27257.45317912667,33767.41267531585
2022-03-25,4497,15269.588790482016,27414.220948634094,33817.10979466791
2022-03-29,4351,15308.584951874001,27567.118509048545,33863.38268244438
2022-04-01,4150,15339.81788653963,27716.241406275076,33911.35770017691
2022-04-05,4291,15367.46582073397,27861.682827426324,33957.45328705817
2022-04-08,4217,15389.559874937571,28003.533659055218,33996.2669517549
2022-04-12,4779,15408.313208373285,28141.882543950152,34028.5182250803
2022-04-19,5635,15423.167621059943,28276.81593652797,34059.33774364897
2022-04-22,6119,15433.695069423673,28408.418156859458,34090.91069457133
2022-04-26,6455,15438.44890645334,28536.771443361104,34120.4054567314
2022-04-29,6362,15441.503980335534,28661.956004185944,34145.00459838361
2022-05-03,6883,15440.896467382972,28784.050067345815,34165.93357643267
2022-05-06,6858,15437.989524472468,28903.129929596114,34186.32114513833
2022-05-10,7291,15432.017919679149,29019.270004113772,34206.88025389121
2022-05-13,7200,15423.732421871779,29132.542866998134,34225.61216084728
2022-05-17,7558,15413.856154864754,29243.019302623885,34241.186549907616
2022-05-20,7364,15403.674380812165,29350.768347874284,34254.77258765519
2022-05-24,7562,15391.577170804636,29455.857335282446,34268.17298130082
2022-05-27,6980,15379.133325469187,29558.351935107516,34281.44141802462
2022-05-31,6817,15366.148093764885,29658.316196372114,34293.27538516068
2022-06-03,6481,15353.525787696564,29755.81258688665,34303.14192629244
2022-06-07,6761,15341.342831183241,29850.902032285565,34311.9629052928
2022-06-10,6412,15329.653890392812,29943.643954099854,34320.716846971525
2022-06-14,6763,15318.17623861554,30034.096306889616,34329.216274741055
2022-06-17,6788,15308.1064040987,30122.31561446003,34336.66698422809
2022-06-21,7793,15298.919891251178,30208.35700518306,34342.92798849575
2022-06-24,8205,15290.972283115145,30292.27424644734,34348.65361319558
2022-06-28,9553,15283.99213609577,30374.119778257445,34354.33867286926
2022-07-01,10249,15278.096631127932,30453.944746003734,34359.74961686662
2022-07-05,11586,15273.369106616094,30531.79903242318,34364.43202122029
2022-07-08,12080,15270.02794445182,30607.731288771174,34368.41399453608
2022-07-12,12789,15267.473385571362,30681.788965223743,34372.12722353382
2022-07-15,11713,15265.976259879904,30754.018340529263,34375.798658269174
